word	#docs it exists in	doc names
nebula	1	winter-constellations.txt
neighborhood	2	kitchen-garden.txt, trail-dogs.txt
news	1	harbor-cats.txt
night	2	harbor-cats.txt, sourdough-baking.txt
nights	1	trail-dogs.txt
no	1	harbor-cats.txt
nose	1	trail-dogs.txt
not	3	kitchen-garden.txt, sourdough-baking.txt, trail-dogs.txt
observer	1	winter-constellations.txt
of	4	harbor-cats.txt, kitchen-garden.txt, trail-dogs.txt, winter-constellations.txt
older	2	trail-dogs.txt, winter-constellations.txt
on	3	harbor-cats.txt, sourdough-baking.txt, trail-dogs.txt
one	2	harbor-cats.txt, trail-dogs.txt
open	1	sourdough-baking.txt
orchard	1	kitchen-garden.txt
orion	1	winter-constellations.txt
other	1	harbor-cats.txt
out	1	trail-dogs.txt
oven	2	kitchen-garden.txt, sourdough-baking.txt
over	2	kitchen-garden.txt, winter-constellations.txt
overnight	1	sourdough-baking.txt
own	1	harbor-cats.txt
owns	1	harbor-cats.txt
pack	1	trail-dogs.txt
packs	1	winter-constellations.txt
pale	1	winter-constellations.txt
path	1	kitchen-garden.txt
patience	1	trail-dogs.txt
patrol	1	harbor-cats.txt
pause	1	trail-dogs.txt
paw	1	kitchen-garden.txt
perfume	1	sourdough-baking.txt
pier	1	harbor-cats.txt
piling	1	harbor-cats.txt
planks	1	harbor-cats.txt
pleased	1	trail-dogs.txt
plunges	1	trail-dogs.txt
prints	1	kitchen-garden.txt
private	1	harbor-cats.txt
proof	1	sourdough-baking.txt
purrs	1	harbor-cats.txt
quiet	2	harbor-cats.txt, winter-constellations.txt
raccoon	1	trail-dogs.txt
reading	1	trail-dogs.txt
reason	2	kitchen-garden.txt, sourdough-baking.txt
red	1	trail-dogs.txt
return	1	trail-dogs.txt
returns	1	winter-constellations.txt
ridge	1	trail-dogs.txt
rise	1	winter-constellations.txt
ritual	1	harbor-cats.txt
rope	1	harbor-cats.txt
salt	1	sourdough-baking.txt
saltscented	1	harbor-cats.txt
saucer	1	harbor-cats.txt
says	1	kitchen-garden.txt
scored	1	sourdough-baking.txt
scrap	1	harbor-cats.txt
scratches	1	winter-constellations.txt
seasonal	1	winter-constellations.txt
seeing	1	winter-constellations.txt
shaggy	1	sourdough-baking.txt
she	1	harbor-cats.txt
shed	1	harbor-cats.txt
should	1	sourdough-baking.txt
shut	1	winter-constellations.txt
silent	1	harbor-cats.txt
sirius	1	winter-constellations.txt
sits	1	kitchen-garden.txt
sky	1	winter-constellations.txt
slice	1	sourdough-baking.txt
small	1	sourdough-baking.txt
snap	1	trail-dogs.txt
so	1	trail-dogs.txt
sour	1	sourdough-baking.txt
sourdough	1	sourdough-baking.txt
spills	1	kitchen-garden.txt
splash	1	trail-dogs.txt
sprawl	1	trail-dogs.txt
spring	1	kitchen-garden.txt
stamps	1	winter-constellations.txt
stands	2	kitchen-garden.txt, winter-constellations.txt
stars	2	kitchen-garden.txt, winter-constellations.txt
starter	1	sourdough-baking.txt
starts	1	sourdough-baking.txt
steady	1	winter-constellations.txt
steals	1	harbor-cats.txt
steam	1	sourdough-baking.txt
steep	1	trail-dogs.txt
stick	1	trail-dogs.txt
still	2	kitchen-garden.txt, trail-dogs.txt
stone	1	trail-dogs.txt
summit	1	trail-dogs.txt
sunwarmed	1	harbor-cats.txt
switchbacks	1	trail-dogs.txt
sword	1	winter-constellations.txt
system	1	sourdough-baking.txt
tabby	1	harbor-cats.txt
taurus	1	winter-constellations.txt
taut	1	sourdough-baking.txt
teach	1	trail-dogs.txt
telescope	1	winter-constellations.txt
than	1	winter-constellations.txt
that	1	harbor-cats.txt
the	5	harbor-cats.txt, kitchen-garden.txt, sourdough-baking.txt, trail-dogs.txt, winter-constellations.txt
them	2	harbor-cats.txt, winter-constellations.txt
then	4	harbor-cats.txt, sourdough-baking.txt, trail-dogs.txt, winter-constellations.txt
three	1	winter-constellations.txt
thrown	1	trail-dogs.txt
thumbprint	1	winter-constellations.txt
thyme	1	kitchen-garden.txt
tides	1	harbor-cats.txt
to	4	harbor-cats.txt, kitchen-garden.txt, sourdough-baking.txt, winter-constellations.txt
toast	1	sourdough-baking.txt
tomato	1	kitchen-garden.txt
tongues	1	trail-dogs.txt
too	1	sourdough-baking.txt
town	1	winter-constellations.txt
trade	1	harbor-cats.txt
trail	2	kitchen-garden.txt, trail-dogs.txt
tripod	1	winter-constellations.txt
triumphant	1	trail-dogs.txt
trotting	1	trail-dogs.txt
turns	1	trail-dogs.txt
under	1	kitchen-garden.txt
vines	1	kitchen-garden.txt
visited	1	kitchen-garden.txt
vocation	1	trail-dogs.txt
waits	1	winter-constellations.txt
wall	1	kitchen-garden.txt
warm	3	harbor-cats.txt, kitchen-garden.txt, trail-dogs.txt
washes	1	harbor-cats.txt
watch	1	harbor-cats.txt
watches	1	sourdough-baking.txt
water	1	sourdough-baking.txt
watering	1	kitchen-garden.txt
weather	2	kitchen-garden.txt, sourdough-baking.txt
welds	1	winter-constellations.txt
were	1	trail-dogs.txt
when	1	trail-dogs.txt
while	2	kitchen-garden.txt, trail-dogs.txt
whiskers	1	harbor-cats.txt
wind	1	trail-dogs.txt
windows	1	sourdough-baking.txt
winter	1	winter-constellations.txt
with	4	harbor-cats.txt, kitchen-garden.txt, trail-dogs.txt, winter-constellations.txt
younger	1	trail-dogs.txt
